disease,aliases,category,description,common_symptoms,total_known_symptoms,general_precautions,risk_factors,when_to_seek_professional_care,similar_diseases,source,verification_date
Common Cold,,Respiratory,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","Chest Pain, Chills, Congestion, Continuous Sneezing, Cough, Fatigue, Headache, High Fever",17,drink vitamin c rich drinks; take vapour; avoid cold food; keep fever in check,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Pneumonia (33%); Tuberculosis (32%); Dengue (24%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Dengue,,Infectious Disease,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.","Back Pain, Chills, Fatigue, Headache, High Fever, Joint Pain, Loss Of Appetite, Malaise",14,drink papaya leaf juice; avoid fatty spicy food; keep mosquitos away; keep hydrated,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Chicken pox (39%); Malaria (38%); Typhoid (32%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Diabetes,,Endocrine,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","Blurred And Distorted Vision, Excessive Hunger, Fatigue, Increased Appetite, Irregular Sugar Level, Lethargy, Obesity, Polyuria",10,have balanced diet; exercise; consult doctor; follow up,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hyperthyroidism (24%); Hypoglycemia (16%); Varicose veins (13%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Dimorphic hemmorhoids(piles),,Gastrointestinal,Description not available in current source dataset (Future Scope: integrate a licensed medical reference API).,"Bloody Stool, Constipation, Irritation In Anus, Pain During Bowel Movements, Pain In Anal Region",5,avoid fatty spicy food; consume witch hazel; warm bath with epsom salt; consume alovera juice,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Typhoid (7%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Drug Reaction,,Immunological,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,"Burning Micturition, Itching, Skin Rash, Spotting Urination, Stomach Pain",5,stop irritation; consult nearest hospital; stop taking drug; follow up,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Fungal infection (29%); Chicken pox (14%); Acne (12%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Fungal infection,,Dermatological,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","Dischromic Patches, Itching, Nodal Skin Eruptions, Skin Rash",4,bath twice; use detol or neem in bathing water; keep infected area dry; use clean cloths,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Drug Reaction (29%); Chicken pox (15%); Acne (14%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
GERD,,Gastrointestinal,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","Acidity, Chest Pain, Cough, Stomach Pain, Ulcers On Tongue, Vomiting",6,avoid fatty spicy food; avoid lying down after eating; maintain healthy weight; exercise,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Heart attack (25%); Tuberculosis (16%); Pneumonia (13%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Gastroenteritis,,Gastrointestinal,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","Dehydration, Diarrhoea, Sunken Eyes, Vomiting",4,stop eating solid food for while; try taking small sips of water; rest; ease back into eating,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Malaria (20%); Typhoid (15%); hepatitis A (15%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Heart attack,,Cardiovascular,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","Breathlessness, Chest Pain, Sweating, Vomiting",4,call ambulance; chew or swallow asprin; keep calm,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",GERD (25%); Pneumonia (25%); Tuberculosis (25%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hepatitis B,,Hepatobiliary,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","Abdominal Pain, Dark Urine, Fatigue, Itching, Lethargy, Loss Of Appetite, Malaise, Receiving Blood Transfusion",12,consult nearest hospital; vaccination; eat healthy; medication,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis D (40%); Chronic cholestasis (36%); Jaundice (33%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hepatitis C,,Hepatobiliary,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","Family History, Fatigue, Loss Of Appetite, Nausea, Yellowing Of Eyes, Yellowish Skin",6,Consult nearest hospital; vaccination; eat healthy; medication,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis D (50%); Chronic cholestasis (44%); Hepatitis E (36%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hepatitis D,,Hepatobiliary,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).","Abdominal Pain, Dark Urine, Fatigue, Joint Pain, Loss Of Appetite, Nausea, Vomiting, Yellowing Of Eyes",9,consult doctor; medication; eat healthy; follow up,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis E (69%); hepatitis A (67%); Chronic cholestasis (60%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hepatitis E,,Hepatobiliary,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,"Abdominal Pain, Acute Liver Failure, Coma, Dark Urine, Fatigue, High Fever, Joint Pain, Loss Of Appetite",13,stop alcohol consumption; rest; consult doctor; medication,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis D (69%); hepatitis A (50%); Chronic cholestasis (43%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hypertension,,Cardiovascular,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.","Chest Pain, Dizziness, Headache, Lack Of Concentration, Loss Of Balance",5,meditation; salt baths; reduce stress; get proper sleep,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Cervical spondylosis (25%); (vertigo) Paroymsal  Positional Vertigo (22%); Heart attack (12%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hyperthyroidism,,Endocrine,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","Abnormal Menstruation, Diarrhoea, Excessive Hunger, Fast Heart Rate, Fatigue, Irritability, Mood Swings, Muscle Weakness",11,eat healthy; massage; use lemon balm; take radioactive iodine treatment,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Diabetes (24%); Hypoglycemia (21%); Hypothyroidism (20%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hypoglycemia,,Endocrine, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,"Anxiety, Blurred And Distorted Vision, Drying And Tingling Lips, Excessive Hunger, Fatigue, Headache, Irritability, Nausea",12,lie down on side; check in pulse; drink sugary drinks; consult doctor,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Malaria (25%); Migraine (24%); Hyperthyroidism (21%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Hypothyroidism,,Endocrine,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","Abnormal Menstruation, Brittle Nails, Cold Hands And Feets, Depression, Dizziness, Enlarged Thyroid, Fatigue, Irritability",13,reduce stress; exercise; eat healthy; get proper sleep,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hyperthyroidism (20%); Migraine (10%); Diabetes (10%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Impetigo,,Dermatological,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","Blister, High Fever, Red Sore Around Nose, Skin Rash, Yellow Crust Ooze",5,soak affected area in warm water; use antibiotics; remove scabs with wet compressed cloth; consult doctor,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Chicken pox (14%); AIDS (12%); Acne (12%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Jaundice,,Hepatobiliary,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","Abdominal Pain, Dark Urine, Fatigue, High Fever, Itching, Vomiting, Weight Loss, Yellowish Skin",8,drink plenty of water; consume milk thistle; eat fruits and high fiberous food; medication,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis D (42%); Hepatitis E (40%); Chronic cholestasis (36%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Malaria,,Infectious Disease,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Chills, Diarrhoea, Headache, High Fever, Muscle Pain, Nausea, Sweating, Vomiting",8,Consult nearest hospital; avoid oily food; avoid non veg food; keep mosquitos out,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Typhoid (46%); Dengue (38%); (vertigo) Paroymsal  Positional Vertigo (27%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Migraine,,Neurological,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","Acidity, Blurred And Distorted Vision, Depression, Excessive Hunger, Headache, Indigestion, Irritability, Stiff Neck",9,meditation; reduce stress; use poloroid glasses in sun; consult doctor,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hypoglycemia (24%); Diabetes (12%); Hyperthyroidism (11%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Osteoarthristis,,Musculoskeletal,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","Hip Joint Pain, Joint Pain, Knee Pain, Neck Pain, Painful Walking, Swelling Joints",6,acetaminophen; consult nearest hospital; follow up; salt baths,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Arthritis (22%); Cervical spondylosis (10%); Psoriasis (9%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Paralysis (brain hemorrhage),,Neurological,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.","Altered Sensorium, Headache, Vomiting, Weakness Of One Body Side",4,massage; eat healthy; exercise; consult doctor,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",(vertigo) Paroymsal  Positional Vertigo (25%); Malaria (20%); Typhoid (15%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
